Type,index,HBA,Smiles1,CAS_HBA,molar1,HBD,Smiles2,CAS_HBD,molar2,Set,T/K,Viscosity,Log viscosity,Smiles,,group,HBA Count1,HBD Count1,HBA Count2,HBD Count2,,Normal_T
III,58,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,31178-70-8,0.5,training,318.15,367.82,5.91,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,.,18,2,0,5,4,,-0.030593
III,59,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,31178-70-8,0.5,training,328.15,183.55,5.21,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,.,18,2,0,5,4,,0.461354514
III,60,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,31178-70-8,0.5,training,333.15,135.05,4.91,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,.,18,2,0,5,4,,0.707328271
III,61,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,31178-70-8,0.5,training,343.15,78.25,4.36,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,.,18,2,0,5,4,,1.199275785
III,62,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,31178-70-8,0.5,training,348.15,61.29,4.12,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,.,18,2,0,5,4,,1.445249542
III,63,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.333,Imidazole,c1c[nH]cn1,288-32-4,0.667,training,303.15,103.33,4.64,CC(=O)OCC[N+](C)(C)C.[Cl-].c1c[nH]cn1,.,22,2,0,1,1,,-0.768514271
III,64,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.333,Imidazole,c1c[nH]cn1,288-32-4,0.667,training,313.15,52.18,3.95,CC(=O)OCC[N+](C)(C)C.[Cl-].c1c[nH]cn1,.,22,2,0,1,1,,-0.276566757
III,65,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.333,Imidazole,c1c[nH]cn1,288-32-4,0.667,training,333.15,21.49,3.07,CC(=O)OCC[N+](C)(C)C.[Cl-].c1c[nH]cn1,.,22,2,0,1,1,,0.707328271
III,66,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.333,Imidazole,c1c[nH]cn1,288-32-4,0.667,training,343.15,11.37,2.43,CC(=O)OCC[N+](C)(C)C.[Cl-].c1c[nH]cn1,.,22,2,0,1,1,,1.199275785
III,67,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.333,Imidazole,c1c[nH]cn1,288-32-4,0.667,training,363.15,4.17,1.43,CC(=O)OCC[N+](C)(C)C.[Cl-].c1c[nH]cn1,.,22,2,0,1,1,,2.183170814
III,68,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.4,Imidazole,c1c[nH]cn1,288-32-4,0.6,training,303.15,233.69,5.45,CC(=O)OCC[N+](C)(C)C.[Cl-].c1c[nH]cn1,.,22,2,0,1,1,,-0.768514271
III,69,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.4,Imidazole,c1c[nH]cn1,288-32-4,0.6,training,323.15,59.05,4.08,CC(=O)OCC[N+](C)(C)C.[Cl-].c1c[nH]cn1,.,22,2,0,1,1,,0.215380757
III,70,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.4,Imidazole,c1c[nH]cn1,288-32-4,0.6,training,333.15,35.29,3.56,CC(=O)OCC[N+](C)(C)C.[Cl-].c1c[nH]cn1,.,22,2,0,1,1,,0.707328271
III,71,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.4,Imidazole,c1c[nH]cn1,288-32-4,0.6,training,353.15,16.53,2.81,CC(=O)OCC[N+](C)(C)C.[Cl-].c1c[nH]cn1,.,22,2,0,1,1,,1.691223299
III,72,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.4,Imidazole,c1c[nH]cn1,288-32-4,0.6,training,363.15,11.69,2.46,CC(=O)OCC[N+](C)(C)C.[Cl-].c1c[nH]cn1,.,22,2,0,1,1,,2.183170814
III,73,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.45,Imidazole,c1c[nH]cn1,288-32-4,0.55,training,313.15,189.19,5.24,CC(=O)OCC[N+](C)(C)C.[Cl-].c1c[nH]cn1,.,22,2,0,1,1,,-0.276566757
III,74,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.45,Imidazole,c1c[nH]cn1,288-32-4,0.55,training,323.15,98.8,4.59,CC(=O)OCC[N+](C)(C)C.[Cl-].c1c[nH]cn1,.,22,2,0,1,1,,0.215380757
